"Freq [GHz]","Phi [deg]","Theta [deg]","re(rEX) [V]","im(rEX) [V]"
2.5,90,-180,-2.54188656502781,4.10399893067754
2.5,90,-179.9,-2.54207816336296,4.10420357224072
2.5,90,-179.8,-2.54225953400106,4.1043759498744
2.5,90,-179.7,-2.54243036102994,4.10451708565763
2.5,90,-179.6,-2.54259058936701,4.1046282092443
2.5,90,-179.5,-2.5427404221998,4.10471075165177
2.5,90,-179.4,-2.54288031543046,4.10476633667181
2.5,90,-179.3,-2.54301096921181,4.1047967699872
2.5,90,-179.2,-2.54313331670038,4.10480402610398
2.5,90,-179.1,-2.54324851018719,4.10479023323563
2.5,90,-179,-2.54335790480079,4.10475765629918
2.5,90,-178.9,-2.5434630400075,4.10470867820579
2.5,90,-178.8,-2.54356561916203,4.10464577964804
2.5,90,-178.7,-2.54366748738559,4.10457151760433
2.5,90,-178.6,-2.54377060806927,4.1044885027952
2.5,90,-178.5,-2.54387703831733,4.10439937633899
2.5,90,-178.4,-2.54398890365702,4.10430678586339
2.5,90,-178.3,-2.54410837235004,4.10421336133551
2.5,90,-178.2,-2.54423762964376,4.10412169087658
2.5,90,-178.1,-2.54437885229992,4.10403429682666
2.5,90,-178,-2.54453418373281,4.10395361232245
2.5,90,-177.9,-2.54470571007912,4.10388195864419
2.5,90,-177.8,-2.54489543750766,4.1038215235788
2.5,90,-177.7,-2.54510527105907,4.10377434103424
2.5,90,-177.6,-2.54533699528351,4.10374227212489
2.5,90,-177.5,-2.54559225691909,4.10372698793072
2.5,90,-177.4,-2.54587254982496,4.10372995411266
2.5,90,-177.3,-2.54617920235188,4.10375241754545
2.5,90,-177.2,-2.54651336729898,4.1037953951048
2.5,90,-177.1,-2.54687601457005,4.10385966472109
2.5,90,-177,-2.54726792660574,4.10394575878505
2.5,90,-176.9,-2.54768969662951,4.10405395996362
2.5,90,-176.8,-2.54814172970757,4.10418429945637
2.5,90,-176.7,-2.54862424658409,4.10433655769452
2.5,90,-176.6,-2.54913729021554,4.10451026745688
2.5,90,-176.5,-2.54968073489158,4.104704719349
2.5,90,-176.4,-2.55025429779459,4.10491896956541
2.5,90,-176.3,-2.55085755281739,4.1051518498288
2.5,90,-176.2,-2.55148994642784,4.10540197937577
2.5,90,-176.1,-2.55215081534196,4.10566777883606
2.5,90,-176,-2.55283940574257,4.10594748583129
2.5,90,-175.9,-2.55355489375973,4.10623917210097
2.5,90,-175.8,-2.55429640691278,4.10654076194706
2.5,90,-175.7,-2.55506304620051,4.10685005177488
2.5,90,-175.6,-2.55585390851766,4.10716473049724
2.5,90,-175.5,-2.55666810907182,4.10748240056084
2.5,90,-175.4,-2.55750480347453,4.10780059934827
2.5,90,-175.3,-2.55836320918537,4.10811682070765
2.5,90,-175.2,-2.55924262599638,4.10842853636193
2.5,90,-175.1,-2.56014245525714,4.10873321695422
2.5,90,-175,-2.56106221755802,4.10902835249197
2.5,90,-174.9,-2.56200156860973,4.1093114719622
2.5,90,-174.8,-2.56296031308172,4.10958016190242
2.5,90,-174.7,-2.5639384161893,4.10983208372609
2.5,90,-174.6,-2.5649360128497,4.1100649896189
2.5,90,-174.5,-2.56595341425995,4.11027673684078
2.5,90,-174.4,-2.56699111178385,4.1104653002898
2.5,90,-174.3,-2.56804977807187,4.11062878320642
2.5,90,-174.2,-2.56913026537438,4.11076542592051
2.5,90,-174.1,-2.5702336010468,4.1108736125683
2.5,90,-174,-2.57136098028266,4.11095187573201
2.5,90,-173.9,-2.57251375614789,4.110998898981
2.5,90,-173.8,-2.57369342702607,4.11101351731914
2.5,90,-173.7,-2.57490162161909,4.11099471556888
2.5,90,-173.6,-2.57614008168076,4.11094162474816
2.5,90,-173.5,-2.57741064269171,4.11085351652011
2.5,90,-173.4,-2.57871521271166,4.11072979581935
2.5,90,-173.3,-2.58005574967029,4.11056999178014
2.5,90,-173.2,-2.58143423737947,4.11037374711224
2.5,90,-173.1,-2.5828526605672,4.11014080608806
2.5,90,-173,-2.58431297924806,4.10987100132161
2.5,90,-172.9,-2.58581710275434,4.10956423953284
2.5,90,-172.8,-2.5873668637582,4.10922048650307
2.5,90,-172.7,-2.58896399261634,4.10883975143544
2.5,90,-172.6,-2.59061009236604,4.10842207094092
2.5,90,-172.5,-2.59230661469425,4.1079674928736
2.5,90,-172.4,-2.59405483719034,4.10747606023957
2.5,90,-172.3,-2.5958558421779,4.10694779540178
2.5,90,-172.2,-2.59771049740211,4.10638268479825
2.5,90,-172.1,-2.59961943882665,4.10578066438354
2.5,90,-172,-2.6015830557686,4.10514160599348
2.5,90,-171.9,-2.60360147857112,4.10446530482051
2.5,90,-171.8,-2.60567456898258,4.1037514681724
2.5,90,-171.7,-2.60780191337772,4.10299970567035
2.5,90,-171.6,-2.60998281892156,4.1022095210238
2.5,90,-171.5,-2.61221631274049,4.10138030549914
2.5,90,-171.4,-2.61450114412839,4.10051133317777
2.5,90,-171.3,-2.61683578977824,4.09960175807644
2.5,90,-171.2,-2.61921846199276,4.09865061317912
2.5,90,-171.1,-2.62164711979149,4.09765681140577
2.5,90,-171,-2.62411948279613,4.0966191485189
2.5,90,-170.9,-2.62663304774268,4.09553630794476
2.5,90,-170.8,-2.62918510743708,4.09440686746201
2.5,90,-170.7,-2.63177277194175,4.09322930768739
2.5,90,-170.6,-2.63439299175391,4.09200202226576
2.5,90,-170.5,-2.63704258271299,4.09072332965049
2.5,90,-170.4,-2.63971825235453,4.08939148634045
2.5,90,-170.3,-2.64241662741106,4.08800470142184
2.5,90,-170.2,-2.64513428214792,4.08656115224668
2.5,90,-170.1,-2.64786776721313,4.08505900106575
2.5,90,-170,-2.65061363867546,4.0834964124215
2.5,90,-169.9,-2.6533684869242,4.08187157109705
2.5,90,-169.8,-2.65612896510735,4.08018270041011
2.5,90,-169.7,-2.6588918167923,4.07842808063569
2.5,90,-169.6,-2.66165390254414,4.0766060673399
2.5,90,-169.5,-2.66441222513162,4.07471510940689
2.5,90,-169.4,-2.66716395308924,4.07275376654479
2.5,90,-169.3,-2.66990644238539,4.0707207260613
2.5,90,-169.2,-2.67263725597123,4.06861481870822
2.5,90,-169.1,-2.6753541810121,4.06643503340408
2.5,90,-169,-2.67805524363272,4.06418053065708
2.5,90,-168.9,-2.68073872103891,4.06185065452456
2.5,90,-168.8,-2.6834031509113,4.05944494296239
2.5,90,-168.7,-2.68604733800044,4.05696313643535
2.5,90,-168.6,-2.68867035788724,4.05440518467951
2.5,90,-168.5,-2.69127155790733,4.05177125152834
2.5,90,-168.4,-2.69385055527244,4.04906171773616
2.5,90,-168.3,-2.69640723245541,4.04627718175528
2.5,90,-168.2,-2.69894172993842,4.04341845844591
2.5,90,-168.1,-2.70145443645461,4.04048657572137
2.5,90,-168,-2.70394597688307,4.03748276915423
2.5,90,-167.9,-2.70641719798333,4.03440847459161
2.5,90,-167.8,-2.70886915218065,4.03126531885042
2.5,90,-167.7,-2.71130307963405,4.02805510858414
2.5,90,-167.6,-2.71372038883797,4.02477981743337
2.5,90,-167.5,-2.71612263602313,4.02144157159111
2.5,90,-167.4,-2.71851150363369,4.01804263393088
2.5,90,-167.3,-2.72088877816567,4.01458538686176
2.5,90,-167.2,-2.72325632765588,4.01107231408777
2.5,90,-167.1,-2.72561607911094,4.00750598146098
2.5,90,-167,-2.72796999616282,4.00388901712691
2.5,90,-166.9,-2.73032005723028,4.00022409116825
2.5,90,-166.8,-2.73266823445572,3.99651389495776
2.5,90,-166.7,-2.73501647367243,3.99276112043353
2.5,90,-166.6,-2.73736667564131,3.98896843951008
2.5,90,-166.5,-2.73972067877548,3.98513848383652
2.5,90,-166.4,-2.74208024354951,3.98127382510812
2.5,90,-166.3,-2.74444703876472,3.977376956131
2.5,90,-166.2,-2.74682262981569,3.97345027283048
2.5,90,-166.1,-2.74920846907446,3.96949605738237
2.5,90,-166,-2.75160588847952,3.96551646263362
2.5,90,-165.9,-2.75401609438595,3.96151349796356
2.5,90,-165.8,-2.75644016470235,3.95748901672085
2.5,90,-165.7,-2.75887904830899,3.95344470535324
2.5,90,-165.6,-2.7613335667209,3.94938207432812
2.5,90,-165.5,-2.76380441792976,3.94530245092198
2.5,90,-165.4,-2.76629218232928,3.94120697393613
2.5,90,-165.3,-2.76879733060164,3.93709659037474
2.5,90,-165.2,-2.77132023341648,3.9329720540997
2.5,90,-165.1,-2.77386117277083,3.92883392645551
2.5,90,-165,-2.77642035477689,3.92468257883579
2.5,90,-164.9,-2.77899792368628,3.92051819714253
