"Freq [GHz]","Phi [deg]","Theta [deg]","re(rEX) [V]","im(rEX) [V]"
2.5,90,-180,-1.75523050076598,3.95726842981867
2.5,90,-179.9,-2.09869394202069,3.78822487861632
2.5,90,-179.8,-2.42597520007907,3.58938099763999
2.5,90,-179.7,-2.7344864169391,3.36228054092529
2.5,90,-179.6,-3.02178691585221,3.10869237357083
2.5,90,-179.5,-3.28560282730485,2.83059641237393
2.5,90,-179.4,-3.52384536606559,2.53016785097629
2.5,90,-179.3,-3.73462760897158,2.20975979979823
2.5,90,-179.2,-3.91627963581885,1.87188448424056
2.5,90,-179.1,-4.06736190957282,1.51919315658484
2.5,90,-179,-4.18667678700383,1.15445488762049
2.5,90,-178.9,-4.2732780666405,0.780534413190028
2.5,90,-178.8,-4.32647849748703,0.400369218483754
2.5,90,-178.7,-4.34585518911485,0.0169460489819674
2.5,90,-178.6,-4.33125288136713,-0.366722958618575
2.5,90,-178.5,-4.28278504984919,-0.747624329378242
2.5,90,-178.4,-4.20083284146151,-1.12276728976553
2.5,90,-178.3,-4.08604185230676,-1.48920759734242
2.5,90,-178.2,-3.93931677821187,-1.84407096607877
2.5,90,-178.1,-3.76181398569459,-2.18457589677435
2.5,90,-178,-3.55493206832101,-2.5080557275473
2.5,90,-177.9,-3.32030046990191,-2.81197972636684
2.5,90,-177.8,-3.05976627171857,-3.09397305610707
2.5,90,-177.7,-2.77537925582549,-3.35183545248447
2.5,90,-177.6,-2.46937537032279,-3.58355846642885
2.5,90,-177.5,-2.14415873521148,-3.78734113482024
2.5,90,-177.4,-1.80228233894055,-3.96160395698648
2.5,90,-177.3,-1.44642758593516,-4.10500106877748
2.5,90,-177.2,-1.07938286417447,-4.21643052128628
2.5,90,-177.1,-0.704021309216142,-4.2950425872282
2.5,90,-177,-0.323277946867847,-4.34024603448932
2.5,90,-176.9,0.0598735990254048,-4.35171232325786
2.5,90,-176.8,0.442444644535274,-4.32937770032121
2.5,90,-176.7,0.821455039099151,-4.27344318138947
2.5,90,-176.6,1.19395662470364,-4.18437242955531
2.5,90,-176.5,1.55705637309968,-4.06288755506706
2.5,90,-176.4,1.90793901692486,-3.9099628783413
2.5,90,-176.3,2.2438889956975,-3.72681671442876
2.5,90,-176.2,2.56231154415808,-3.51490125284634
2.5,90,-176.1,2.86075275832571,-3.27589062166563
2.5,90,-176,3.13691848381321,-3.01166723889302
2.5,90,-175.9,3.38869188132594,-2.72430656737377
2.5,90,-175.8,3.61414953575985,-2.41606040160057
2.5,90,-175.7,3.8115759877991,-2.08933882581959
2.5,90,-175.6,3.97947658028811,-1.7466909926216
2.5,90,-175.5,4.11658852579523,-1.39078487971035
2.5,90,-175.4,4.22189011656843,-1.02438618970728
2.5,90,-175.3,4.2946080133855,-0.650336563622944
2.5,90,-175.2,4.33422256548524,-0.271531282980437
2.5,90,-175.1,4.34047112970446,0.109103361513071
2.5,90,-175,4.313349373004,0.488632855391891
2.5,90,-174.9,4.25311055861293,0.864137220582856
2.5,90,-174.8,4.1602628319266,1.23273357232993
2.5,90,-174.7,4.03556453793071,1.59159829775954
2.5,90,-174.6,3.88001761717093,1.93798868513905
2.5,90,-174.5,3.69485914202417,2.26926383838406
2.5,90,-174.4,3.48155106914581,2.58290471812541
2.5,90,-174.3,3.2417682973563,2.87653315859677
2.5,90,-174.2,2.97738513279741,3.14792971865947
2.5,90,-174.1,2.69046027484054,3.39505023536672
2.5,90,-174,2.38322044688484,3.61604095948898
2.5,90,-173.9,2.05804280577452,3.80925216427623
2.5,90,-173.8,1.71743627202079,3.97325013132507
2.5,90,-173.7,1.36402193029431,4.10682743063168
2.5,90,-173.6,1.00051265570454,4.2090114256445
2.5,90,-173.5,0.629692126177704,4.27907094826428
2.5,90,-173.4,0.254393384765061,4.31652110316038
2.5,90,-173.3,-0.122522882062053,4.32112617536939
2.5,90,-173.2,-0.498190183135321,4.29290062979573
2.5,90,-173.1,-0.869758011681364,4.23210820583613
2.5,90,-173,-1.23441341974288,4.13925912478554
2.5,90,-172.9,-1.58940221573386,4.01510544184705
2.5,90,-172.8,-1.93204962697501,3.86063458835666
2.5,90,-172.7,-2.25978027425726,3.6770611631458
2.5,90,-172.6,-2.57013731177278,3.46581704470879
2.5,90,-172.5,-2.86080059309533,3.22853990792483
2.5,90,-172.4,-3.12960373219268,2.96706024043284
2.5,90,-172.3,-3.37454993766798,2.68338696428222
2.5,90,-172.2,-3.59382650844656,2.37969177813168
2.5,90,-172.1,-3.78581788988767,2.05829234396903
2.5,90,-172,-3.94911720070806,1.72163445002987
2.5,90,-171.9,-4.08253615306642,1.37227328825951
2.5,90,-171.8,-4.18511330058477,1.01285399024769
2.5,90,-171.7,-4.25612056187261,0.646091570051535
2.5,90,-171.6,-4.29506798018259,0.274750425676352
2.5,90,-171.5,-4.30170669305778,-0.0983764467912798
2.5,90,-171.4,-4.27603009913905,-0.470488371318787
2.5,90,-171.3,-4.21827322258878,-0.838797887305636
2.5,90,-171.2,-4.12891028875717,-1.20055146834646
2.5,90,-171.1,-4.00865053768156,-1.55304991279264
2.5,90,-171,-3.85843231467415,-1.8936682578704
2.5,90,-170.9,-3.67941548953578,-2.21987507349085
2.5,90,-170.8,-3.47297226774864,-2.5292509972657
2.5,90,-170.7,-3.24067646827223,-2.81950637856411
2.5,90,-170.6,-2.98429135322036,-3.08849790666413
2.5,90,-170.5,-2.70575610466414,-3.33424410610531
2.5,90,-170.4,-2.40717105302587,-3.55493959117122
2.5,90,-170.3,-2.09078176994163,-3.74896798095866
2.5,90,-170.2,-1.75896214602756,-3.91491338664682
2.5,90,-170.1,-1.4141965806422,-4.05157039329204
2.5,90,-170,-1.05906141645274,-4.15795246966368
2.5,90,-169.9,-0.696205756363369,-4.23329875122132
2.5,90,-169.8,-0.328331804113106,-4.27707915323372
2.5,90,-169.7,0.0418251274084467,-4.28899778316923
2.5,90,-169.6,0.411516794364265,-4.26899463376337
2.5,90,-169.5,0.778002240243168,-4.21724555050612
2.5,90,-169.4,1.13856790809116,-4.13416047960671
2.5,90,-169.3,1.49054750194942,-4.0203800147019
2.5,90,-169.2,1.83134145510185,-3.87677027259563
2.5,90,-169.1,2.15843586607536,-3.70441614007091
2.5,90,-169,2.46942076762656,-3.50461294522227
2.5,90,-168.9,2.76200759915355,-3.27885661774538
2.5,90,-168.8,3.03404575906073,-3.02883241311366
2.5,90,-168.7,3.28353812052188,-2.75640228550678
2.5,90,-168.6,3.50865540178964,-2.46359100366406
2.5,90,-168.5,3.70774929063083,-2.15257111245822
2.5,90,-168.4,3.87936423156497,-1.82564685086942
2.5,90,-168.3,4.02224779428929,-1.485237144129
2.5,90,-168.2,4.13535955191591,-1.13385779405811
2.5,90,-168.1,4.21787840835727,-0.774102997006293
2.5,90,-168,4.26920832530261,-0.408626323259395
2.5,90,-167.9,4.28898241065009,-0.0401212953244879
2.5,90,-167.8,4.27706534192768,0.328698294939546
2.5,90,-167.7,4.23355411006211,0.695118188776235
2.5,90,-167.6,4.1587770807662,1.0564434403954
2.5,90,-167.5,4.05329138272666,1.41001803245185
2.5,90,-167.4,3.91787864360804,1.75324418670688
2.5,90,-167.3,3.75353910656183,2.08360123178433
2.5,90,-167.2,3.56148417136663,2.39866389322948
2.5,90,-167.1,3.34312741544389,2.69611987531944
2.5,90,-167,3.10007416072242,2.97378660921599
2.5,90,-166.9,2.8341096625888,3.22962704806987
2.5,90,-166.8,2.54718600688655,3.46176439653918
2.5,90,-166.7,2.24140781005283,3.66849566982051
2.5,90,-166.6,1.91901682594056,3.8483039856646
2.5,90,-166.5,1.5823755706064,3.99986950190114
2.5,90,-166.4,1.23395008330199,4.12207892166381
2.5,90,-166.3,0.876291948029889,4.21403349872852
2.5,90,-166.2,0.512019705280513,4.27505548607771
2.5,90,-166.1,0.14379978790968,4.30469298191364
2.5,90,-166,-0.225672881485165,4.30272313878477
2.5,90,-165.9,-0.593694491897022,4.26915371318299
2.5,90,-165.8,-0.957572002715673,4.20422294483504
2.5,90,-165.7,-1.3146427183289,4.10839776686565
2.5,90,-165.6,-1.66229363740162,3.9823703599694
2.5,90,-165.5,-1.99798043728473,3.82705307560803
2.5,90,-165.4,-2.31924595656603,3.64357176496746
2.5,90,-165.3,-2.62373804232341,3.43325756187887
2.5,90,-165.2,-2.90922663314224,3.19763717904972
2.5,90,-165.1,-3.17361995439227,2.93842178768391
2.5,90,-165,-3.41497970858727,2.65749456081574
2.5,90,-164.9,-3.63153515082736,2.35689697036747
2.5,90,-164.8,-3.82169594730526,2.0388139369932
2.5,90,-164.7,-3.98406372358601,1.70555794012327
2.5,90,-164.6,-4.11744221878416,1.35955220321614
2.5,90,-164.5,-4.22084597180005,1.00331307599506
2.5,90,-164.4,-4.29350747636262,0.639431741350745
2.5,90,-164.3,-4.33488275269051,0.270555379575169
2.5,90,-164.2,-4.34465529504177,-0.100632073376831
2.5,90,-164.1,-4.32273836619731,-0.471429433857522
2.5,90,-164,-4.26927562192693,-0.839137902958272
2.5,90,-163.9,-4.18464006063284,-1.20108068063082
2.5,90,-163.8,-4.06943130556634,-1.55462241876813
2.5,90,-163.7,-3.92447123917777,-1.89718837159814
2.5,90,-163.6,-3.75079802120021,-2.22628310386573
2.5,90,-163.5,-3.54965853389133,-2.53950862043087
2.5,90,-163.4,-3.32249930938438,-2.834581785058
2.5,90,-163.3,-3.0709560052311,-3.10935090131186
2.5,90,-163.2,-2.79684150488528,-3.36181133454286
2.5,90,-163.1,-2.50213272998663,-3.59012006092014
2.5,90,-163,-2.18895626078617,-3.79260903729428
2.5,90,-162.9,-1.85957286983889,-3.96779729428485
2.5,90,-162.8,-1.51636108210057,-4.11440166433764
2.5,90,-162.7,-1.16179988175336,-4.23134606650326
2.5,90,-162.6,-0.798450692381507,-4.31776928028899
2.5,90,-162.5,-0.428938762485924,-4.37303115204301
2.5,90,-162.4,-0.0559340927180276,-4.39671718886747
2.5,90,-162.3,0.317867955410628,-4.38864150693658
2.5,90,-162.2,0.689766227241905,-4.34884811322744
2.5,90,-162.1,1.05707337572139,-4.27761051196655
2.5,90,-162,1.41713535158366,-4.1754296394586
2.5,90,-161.9,1.7673506402203,-4.04303014330561
