"Freq [GHz]","Phi [deg]","Theta [deg]","re(rEX) [V]","im(rEX) [V]"
2.5,90,-180,-1.8368456149724,3.63547377831762
2.5,90,-179.9,-2.03029650991124,3.53224364556793
2.5,90,-179.8,-2.21795584074754,3.41877614049151
2.5,90,-179.7,-2.39928972442751,3.29539568645021
2.5,90,-179.6,-2.57378237874145,3.1624536466895
2.5,90,-179.5,-2.74093737205931,3.02032732532409
2.5,90,-179.4,-2.90027882037675,2.8694189234814
2.5,90,-179.3,-3.05135253179986,2.71015445303263
2.5,90,-179.2,-3.19372709864738,2.54298261005184
2.5,90,-179.1,-3.32699493735397,2.36837360986163
2.5,90,-179,-3.4507732763181,2.18681798525683
2.5,90,-178.9,-3.56470509175393,1.99882534925282
2.5,90,-178.8,-3.6684599914863,1.80492312348311
2.5,90,-178.7,-3.76173504647086,1.6056552331822
2.5,90,-178.6,-3.84425556963514,1.40158076953441
2.5,90,-178.5,-3.91577584142616,1.19327262005237
2.5,90,-178.4,-3.97607978121838,0.981316067575017
2.5,90,-178.3,-4.02498156349343,0.766307358441647
2.5,90,-178.2,-4.06232617745072,0.548852240413997
2.5,90,-178.1,-4.08798992845603,0.329564470977033
2.5,90,-178,-4.10188087948759,0.1090642967542
2.5,90,-177.9,-4.10393923050253,-0.112023095074633
2.5,90,-177.8,-4.09413763342785,-0.333069152271713
2.5,90,-177.7,-4.07248144028358,-0.553443558638504
2.5,90,-177.6,-4.03900888177857,-0.77251585911908
2.5,90,-177.5,-3.99379117358522,-0.98965710700862
2.5,90,-177.4,-3.93693254740414,-1.20424153102527
2.5,90,-177.3,-3.8685702038769,-1.41564821963608
2.5,90,-177.2,-3.78887418439753,-1.62326281964339
2.5,90,-177.1,-3.69804715891651,-1.82647924563202
2.5,90,-177,-3.59632412692257,-2.02470139647022
2.5,90,-176.9,-3.48397202893582,-2.21734487463713
2.5,90,-176.8,-3.36128926604306,-2.40383870374361
2.5,90,-176.7,-3.22860512526005,-2.58362703920797
2.5,90,-176.6,-3.08627910881187,-2.7561708666629
2.5,90,-176.5,-2.93470016577717,-2.92094968230957
2.5,90,-176.4,-2.77428582495109,-3.07746314909624
2.5,90,-176.3,-2.60548122823091,-3.22523272230318
2.5,90,-176.2,-2.4287580643249,-3.36380323785274
2.5,90,-176.1,-2.24461340311583,-3.49274445645174
2.5,90,-176,-2.05356843157733,-3.61165255650733
2.5,90,-175.9,-1.85616709273573,-3.7201515686468
2.5,90,-175.8,-1.65297462978445,-3.81789474462035
2.5,90,-175.7,-1.44457603809117,-3.9045658533718
2.5,90,-175.6,-1.23157442847919,-3.97988039713212
2.5,90,-175.5,-1.01458930580761,-4.04358674052488
2.5,90,-175.4,-0.794254767516356,-4.09546714586929
2.5,90,-175.3,-0.571217627429717,-4.13533870812975
2.5,90,-175.2,-0.346135470723399,-4.16305418328588
2.5,90,-175.1,-0.119674646546722,-4.17850270428417
2.5,90,-175,0.107491794654565,-4.18161037917958
2.5,90,-174.9,0.334686211550368,-4.17234076657771
2.5,90,-174.8,0.561228522036325,-4.15069522404447
2.5,90,-174.7,0.786438384579133,-4.11671312575314
2.5,90,-174.6,1.00963740196328,-4.07047194628641
2.5,90,-174.5,1.2301513382936,-4.01208720819477
2.5,90,-174.4,1.44731233985578,-3.94171229163001
2.5,90,-174.3,1.66046115025332,-3.85953810511379
2.5,90,-174.2,1.86894931012127,-3.76579261726271
2.5,90,-174.1,2.07214133166879,-3.66074025006385
2.5,90,-174,2.26941683832623,-3.54468113507281
2.5,90,-173.9,2.46017265986374,-3.41795023468292
2.5,90,-173.8,2.64382487351446,-3.28091633138022
2.5,90,-173.7,2.81981078186545,-3.13398088865133
2.5,90,-173.6,2.9875908185803,-2.97757678793889
