"Freq [GHz]","Phi [deg]","Theta [deg]","re(rEX) [V]","im(rEX) [V]"
2.5,90,-180,-1.84018142376235,3.45626064486626
2.5,90,-179.9,-1.89587807169534,3.42763073134734
2.5,90,-179.8,-1.95116386233011,3.39811265567162
2.5,90,-179.7,-2.00602803659078,3.36771279895553
2.5,90,-179.6,-2.06045990467331,3.33643742316829
2.5,90,-179.5,-2.11444880236523,3.30429265940826
2.5,90,-179.4,-2.1679840481106,3.27128450030176
2.5,90,-179.3,-2.22105490137719,3.2374187965662
2.5,90,-179.2,-2.27365052286103,3.20270125772862
2.5,90,-179.1,-2.32575993703519,3.16713745694077
2.5,90,-179,-2.37737199751556,3.13073283978245
2.5,90,-178.9,-2.4284753556755,3.0934927368983
2.5,90,-178.8,-2.4790584328962,3.05542238026804
2.5,90,-178.7,-2.52910939678925,3.01652692286894
2.5,90,-178.6,-2.57861614167398,2.97681146145086
2.5,90,-178.5,-2.62756627353491,2.93628106211001
2.5,90,-178.4,-2.67594709962498,2.89494078831761
2.5,90,-178.3,-2.7237456228192,2.85279573103425
2.5,90,-178.2,-2.770948540761,2.80985104052063
2.5,90,-178.1,-2.81754224978202,2.76611195943951
2.5,90,-178,-2.86351285351441,2.72158385683428
2.5,90,-177.9,-2.90884617605558,2.67627226256452
2.5,90,-177.8,-2.95352777948778,2.63018290177948
2.5,90,-177.7,-2.9975429855013,2.58332172901657
2.5,90,-177.6,-3.0408769008194,2.53569496152273
2.5,90,-177.5,-3.0835144460777,2.48730911141244
2.5,90,-177.4,-3.12544038776979,2.4381710162968
2.5,90,-177.3,-3.16663937283543,2.38828786804324
2.5,90,-177.2,-3.20709596543899,2.33766723935378
2.5,90,-177.1,-3.24679468546195,2.28631710788283
2.5,90,-177,-3.28572004821773,2.23424587765042
2.5,90,-176.9,-3.3238566048863,2.18146239754563
2.5,90,-176.8,-3.36118898316413,2.12797597675468
2.5,90,-176.7,-3.39770192762818,2.07379639698981
2.5,90,-176.6,-3.43338033932309,2.0189339214387
2.5,90,-176.5,-3.46820931409836,1.96339930039576
2.5,90,-176.4,-3.50217417924473,1.90720377358149
2.5,90,-176.3,-3.53526052800857,1.85035906919665
2.5,90,-176.2,-3.56745425159736,1.79287739980045
2.5,90,-176.1,-3.59874156832895,1.7347714551399
2.5,90,-176,-3.62910904962104,1.67605439209542
2.5,90,-175.9,-3.65854364256476,1.61673982194183
2.5,90,-175.8,-3.68703268887719,1.55684179515461
2.5,90,-175.7,-3.71456394008062,1.49637478401916
2.5,90,-175.6,-3.74112556881088,1.43535366332487
2.5,90,-175.5,-3.76670617621335,1.37379368944472
2.5,90,-175.4,-3.79129479544031,1.31171047811736
2.5,90,-175.3,-3.81488089131933,1.24911998125877
2.5,90,-175.2,-3.83745435631586,1.18603846313752
2.5,90,-175.1,-3.85900550296536,1.12248247624881
2.5,90,-175,-3.87952505299951,1.05846883722016
2.5,90,-174.9,-3.89900412343676,0.994014603073922
2.5,90,-174.8,-3.91743420994964,0.929137048160385
2.5,90,-174.7,-3.93480716785832,0.8638536420592
2.5,90,-174.6,-3.95111519113266,0.798182028727467
2.5,90,-174.5,-3.96635078981186,0.732140007149125
2.5,90,-174.4,-3.98050676627202,0.665745513714358
2.5,90,-174.3,-3.9935761907875,0.599016606527772
2.5,90,-174.2,-4.00555237684089,0.531971451812638
2.5,90,-174.1,-4.01642885663942,0.464628312544572
2.5,90,-174,-4.02619935729226,0.397005539412511
2.5,90,-173.9,-4.03485777809346,0.329121564168872
2.5,90,-173.8,-4.04239816933982,0.260994895393136
2.5,90,-173.7,-4.04881471309139,0.192644116656755
2.5,90,-173.6,-4.0541017062554,0.124087887040242
2.5,90,-173.5,-4.05825354634228,0.0553449439175237
2.5,90,-173.4,-4.06126472020562,-0.0135658921112244
2.5,90,-173.3,-4.06312979603702,-0.0826257102901831
2.5,90,-173.2,-4.06384341884201,-0.151815500963728
2.5,90,-173.1,-4.06340030957561,-0.221116145227163
2.5,90,-173,-4.06179526806609,-0.290508403206842
2.5,90,-172.9,-4.05902317980357,-0.359972901225648
2.5,90,-172.8,-4.0550790266173,-0.429490118127382
2.5,90,-172.7,-4.04995790121228,-0.499040371048694
2.5,90,-172.6,-4.04365502548278,-0.568603800936613
2.5,90,-172.5,-4.03616577246884,-0.638160358117186
2.5,90,-172.4,-4.02748569177122,-0.707689788221609
2.5,90,-172.3,-4.01761053819274,-0.77717161877608
