"Freq [GHz]","Phi [deg]","Theta [deg]","re(rEX) [V]","im(rEX) [V]"
2.5,90,-180,-1.19084067904608,3.50444788083804
2.5,90,-179.9,-1.30388228138025,3.46519216865279
2.5,90,-179.8,-1.41575271021874,3.42232309319318
2.5,90,-179.7,-1.52633735325979,3.37586923317623
2.5,90,-179.6,-1.63552166507184,3.32586266534585
2.5,90,-179.5,-1.74319127761449,3.27233904484366
2.5,90,-179.4,-1.84923212177295,3.21533768201959
2.5,90,-179.3,-1.95353055958182,3.15490161443227
2.5,90,-179.2,-2.05597352667847,3.0910776728245
2.5,90,-179.1,-2.15644868439638,3.02391653990927
2.5,90,-179,-2.25484458078797,2.95347280086548
2.5,90,-178.9,-2.351050819753,2.87980498452021
2.5,90,-178.8,-2.44495823734773,2.80297559428305
2.5,90,-178.7,-2.53645908425943,2.72305112799826
2.5,90,-178.6,-2.62544721335378,2.64010208598973
2.5,90,-178.5,-2.71181827113914,2.55420296669092
2.5,90,-178.4,-2.79546989194203,2.46543224937591
2.5,90,-178.3,-2.87630189355429,2.37387236363546
2.5,90,-178.2,-2.95421647309221,2.27960964537398
2.5,90,-178.1,-3.0291184018042,2.18273427923604
2.5,90,-178,-3.10091521757403,2.08334022750275
2.5,90,-177.9,-3.16951741389205,1.98152514563015
2.5,90,-177.8,-3.2348386241065,1.87739028472732
2.5,90,-177.7,-3.29679579982034,1.77104038139423
2.5,90,-177.6,-3.35530938236429,1.6625835354543
2.5,90,-177.5,-3.41030346635483,1.55213107622317
2.5,90,-177.4,-3.46170595443359,1.43979741805298
2.5,90,-177.3,-3.50944870238128,1.32569990597934
2.5,90,-177.2,-3.5534676539052,1.20995865237224
2.5,90,-177.1,-3.59370296450957,1.09269636555806
2.5,90,-177,-3.6300991139752,0.974038171427762
2.5,90,-176.9,-3.662605007093,0.854111429087261
2.5,90,-176.8,-3.69117406241797,0.733045541626311
2.5,90,-176.7,-3.7157642889303,0.610971763094813
2.5,90,-176.6,-3.73633835060974,0.488023002771728
2.5,90,-176.5,-3.75286361904562,0.364333627793308
2.5,90,-176.4,-3.76531221431564,0.240039265180774
2.5,90,-176.3,-3.77366103447232,0.115276604262769
2.5,90,-176.2,-3.77789177407332,-0.00981679956308975
2.5,90,-176.1,-3.7779909322812,-0.135102718850968
2.5,90,-176,-3.77394981113714,-0.260442445103717
2.5,90,-175.9,-3.7657645046822,-0.385696976021263
2.5,90,-175.8,-3.75343587965657,-0.510727198365878
2.5,90,-175.7,-3.73696954855242,-0.635394065903485
2.5,90,-175.6,-3.71637583582865,-0.759558771979241
2.5,90,-175.5,-3.69166973811549,-0.88308291638814
2.5,90,-175.4,-3.66287087924394,-1.00582866630353
2.5,90,-175.3,-3.63000346092896,-1.12765891113083
2.5,90,-175.2,-3.59309620991714,-1.24843741125448
2.5,90,-175.1,-3.55218232237887,-1.36802894074508
2.5,90,-175,-3.50729940628309,-1.48629942418838
2.5,90,-174.9,-3.45848942243996,-1.6031160678853
2.5,90,-174.8,-3.40579862483413,-1.71834748575501
2.5,90,-174.7,-3.34927750079979,-1.8318638203462
2.5,90,-174.6,-3.28898071150981,-1.9435368594261
2.5,90,-174.5,-3.22496703316513,-2.05324014867261
2.5,90,-174.4,-3.15729929918046,-2.16084910103796
2.5,90,-174.3,-3.08604434356754,-2.26624110338634
2.5,90,-174.2,-3.01127294562027,-2.36929562102917
2.5,90,-174.1,-2.93305977590883,-2.46989430079152
2.5,90,-174,-2.85148334349206,-2.56792107324123
2.5,90,-173.9,-2.76662594416325,-2.66326225469808
2.5,90,-173.8,-2.6785736094518,-2.75580664961569
2.5,90,-173.7,-2.58741605601723,-2.84544565389145
2.5,90,-173.6,-2.49324663499079,-2.93207335961343
2.5,90,-173.5,-2.39616228074609,-3.01558666169605
2.5,90,-173.4,-2.29626345851582,-3.09588536679019
2.5,90,-173.3,-2.19365411021481,-3.17287230477955
2.5,90,-173.2,-2.08844159778464,-3.24645344309416
2.5,90,-173.1,-1.98073664333985,-3.31653800398483
2.5,90,-173,-1.87065326537251,-3.38303858481087
2.5,90,-172.9,-1.75830871025997,-3.44587128129909
2.5,90,-172.8,-1.64382337832206,-3.50495581363427
2.5,90,-172.7,-1.52732074368503,-3.56021565514507
2.5,90,-172.6,-1.40892726723604,-3.61157816325193
2.5,90,-172.5,-1.28877230198608,-3.65897471224941
2.5,90,-172.4,-1.16698799021012,-3.70234082740376
2.5,90,-172.3,-1.04370915178869,-3.74161631976089
2.5,90,-172.2,-0.919073163246174,-3.77674542097896
2.5,90,-172.1,-0.793219827058302,-3.80767691742653
2.5,90,-172,-0.666291230887338,-3.83436428272221
2.5,90,-171.9,-0.538431596498229,-3.85676580783526
2.5,90,-171.8,-0.409787118207381,-3.87484472782073
2.5,90,-171.7,-0.28050579082189,-3.88856934422653
2.5,90,-171.6,-0.150737227133574,-3.89791314218577
2.5,90,-171.5,-0.020632465143669,-3.90285490119446
2.5,90,-171.4,0.109656234694445,-3.90337879857325
2.5,90,-171.3,0.239975601817641,-3.89947450462313
2.5,90,-171.2,0.370171576973956,-3.89113726850715
2.5,90,-171.1,0.500089542110053,-3.87836799392477
2.5,90,-171,0.629574558012972,-3.86117330369098
2.5,90,-170.9,0.758471608897815,-3.83956559238915
2.5,90,-170.8,0.886625853045946,-3.81356306633291
2.5,90,-170.7,1.01388287851776,-3.78318977014917
2.5,90,-170.6,1.14008896289326,-3.74847559937931
2.5,90,-170.5,1.2650913359332,-3.70945629858792
2.5,90,-170.4,1.38873844400268,-3.6661734445685
2.5,90,-170.3,1.51088021506063,-3.61867441433991
2.5,90,-170.2,1.6313683229916,-3.56701233773685
2.5,90,-170.1,1.75005645004067,-3.51124603450997
2.5,90,-170,1.8668005461107,-3.45143993596514
2.5,90,-169.9,1.98145908368913,-3.3876639912864
2.5,90,-169.8,2.09389330719515,-3.31999355880062
2.5,90,-169.7,2.2039674755703,-3.24850928255384
2.5,90,-169.6,2.31154909698174,-3.17329695467781
2.5,90,-169.5,2.41650915456342,-3.09444736412886
2.5,90,-169.4,2.51872232218643,-3.01205613248018
2.5,90,-169.3,2.61806716932693,-2.92622353753928
2.5,90,-169.2,2.71442635418345,-2.83705432564724
2.5,90,-169.1,2.80768680428859,-2.74465751359091
2.5,90,-169,2.89773988395873,-2.64914618112536
2.5,90,-168.9,2.98448154802908,-2.5506372551603
2.5,90,-168.8,3.06781248143056,-2.44925128670864
2.5,90,-168.7,3.14763822427586,-2.34511222173082
2.5,90,-168.6,3.22386928223503,-2.23834716703112
2.5,90,-168.5,3.296421222095,-2.12908615237403
2.5,90,-168.4,3.3652147525092,-2.01746188998981
2.5,90,-168.3,3.43017579005466,-1.90360953262727
2.5,90,-168.2,3.491235510821,-1.78766643128992
2.5,90,-168.1,3.54833038785841,-1.66977189376042
2.5,90,-168,3.60140221490962,-1.55006694497396
2.5,90,-167.9,3.65039811694051,-1.4286940902524
2.5,90,-167.8,3.69527054806883,-1.30579708234752
2.5,90,-167.7,3.73597727756473,-1.18152069317519
2.5,90,-167.6,3.772481364663,-1.05601049104639
2.5,90,-167.5,3.80475112298426,-0.929412624119134
2.5,90,-167.4,3.83276007540824,-0.801873610709515
2.5,90,-167.3,3.85648690027917,-0.673540137008872
2.5,90,-167.2,3.87591536984877,-0.544558862661641
2.5,90,-167.1,3.89103428187763,-0.415076234562138
2.5,90,-167,3.90183738532026,-0.285238309133617
2.5,90,-166.9,3.90832330101318,-0.1551905832579
2.5,90,-166.8,3.91049543826923,-0.025077833929095
2.5,90,-166.7,3.90836190825588,0.104956033385476
2.5,90,-166.6,3.90193543499988,0.234768127781512
2.5,90,-166.5,3.89123326481736,0.364216707539375
2.5,90,-166.4,3.87627707491671,0.493161306595742
2.5,90,-166.3,3.85709288186315,0.621462853202607
2.5,90,-166.2,3.8337109505291,0.748983781174695
2.5,90,-166.1,3.80616570408419,0.875588134183709
2.5,90,-166,3.77449563550439,1.00114166360729
2.5,90,-165.9,3.73874322100196,1.12551192048048
2.5,90,-165.8,3.69895483569786,1.24856834213028
2.5,90,-165.7,3.65518067177674,1.37018233409681
2.5,90,-165.6,3.60747465928339,1.49022734795847
