"Freq [GHz]","Phi [deg]","Theta [deg]","re(rEX) [V]","im(rEX) [V]"
2.5,90,-180,-1.49818284732767,3.48245598403861
2.5,90,-179.9,-1.63183847708043,3.42138700085482
2.5,90,-179.8,-1.76297634142291,3.35513455903332
2.5,90,-179.7,-1.89139067114589,3.28380490675103
2.5,90,-179.6,-2.01688062250869,3.20751289584434
2.5,90,-179.5,-2.13925066277908,3.12638170792487
2.5,90,-179.4,-2.25831093548799,3.04054256068118
2.5,90,-179.3,-2.37387760431156,2.95013439622036
2.5,90,-179.2,-2.48577317469053,2.8553035533739
2.5,90,-179.1,-2.59382679249779,2.75620342594071
2.5,90,-179,-2.69787451926769,2.65299410886665
2.5,90,-178.9,-2.79775958370037,2.54584203436563
2.5,90,-178.8,-2.89333260935241,2.43491959997036
2.5,90,-178.7,-2.98445181861499,2.32040479046463
2.5,90,-178.6,-3.07098321326349,2.20248079559213
2.5,90,-178.5,-3.15280073203457,2.08133562536144
2.5,90,-178.4,-3.22978638584572,1.95716172467532
2.5,90,-178.3,-3.30183037141907,1.83015558890312
2.5,90,-178.2,-3.36883116420001,1.70051738189455
2.5,90,-178.1,-3.43069559157531,1.56845055779838
2.5,90,-178,-3.4873388874906,1.43416148790576
2.5,90,-177.9,-3.53868472964333,1.29785909358687
2.5,90,-177.8,-3.58466526048544,1.1597544862315
2.5,90,-177.7,-3.62522109330755,1.02006061494406
2.5,90,-177.6,-3.66030130469517,0.878991922581415
2.5,90,-177.5,-3.68986341464681,0.736764010561321
2.5,90,-177.4,-3.71387335562435,0.593593312711451
2.5,90,-177.3,-3.73230543176875,0.449696778278148
2.5,90,-177.2,-3.74514226945987,0.305291564067356
2.5,90,-177.1,-3.75237476032909,0.160594735557072
2.5,90,-177,-3.75400199774908,0.0158229766935417
2.5,90,-176.9,-3.75003120772771,-0.128807692024995
2.5,90,-176.8,-3.74047767502513,-0.273082187674984
2.5,90,-176.7,-3.72536466519548,-0.416786631823298
2.5,90,-176.6,-3.70472334313044,-0.559708610877896
2.5,90,-176.5,-3.67859268855174,-0.701637430572137
2.5,90,-176.4,-3.64701940876756,-0.842364365311408
2.5,90,-176.3,-3.61005784887381,-0.981682903130593
2.5,90,-176.2,-3.56776989944893,-1.11938898700738
2.5,90,-176.1,-3.52022490166187,-1.25528125326084
2.5,90,-176,-3.46749954958848,-1.38916126772948
2.5,90,-175.9,-3.40967778941563,-1.5208337603731
2.5,90,-175.8,-3.34685071510364,-1.6501068588799
2.5,90,-175.7,-3.27911645998095,-1.7767923217816
2.5,90,-175.6,-3.20658008365953,-1.9007057714897
2.5,90,-175.5,-3.12935345358778,-2.02166692756648
2.5,90,-175.4,-3.04755512050008,-2.13949984043379
2.5,90,-175.3,-2.96131018698056,-2.25403312560769
2.5,90,-175.2,-2.87075016833186,-2.36510019842424
2.5,90,-175.1,-2.77601284493083,-2.47253950909717
2.5,90,-175,-2.67724210525928,-2.57619477782186
2.5,90,-174.9,-2.57458777882211,-2.67591522951327
2.5,90,-174.8,-2.46820545820457,-2.7715558276431
2.5,90,-174.7,-2.35825630957613,-2.86297750652161
2.5,90,-174.6,-2.24490687101921,-2.9500474012572
2.5,90,-174.5,-2.12832883814555,-3.03263907452223
2.5,90,-174.4,-2.00869883656129,-3.11063273915777
2.5,90,-174.3,-1.88619818085089,-3.18391547556713
2.5,90,-174.2,-1.76101261986969,-3.25238144277556
2.5,90,-174.1,-1.63333206826373,-3.31593208197644
2.5,90,-174,-1.50335032426964,-3.37447631134087
2.5,90,-173.9,-1.37126477398888,-3.42793071083965
2.5,90,-173.8,-1.23727608247248,-3.4762196958154
