"Freq [GHz]","Phi [deg]","Theta [deg]","re(rEX) [V]","im(rEX) [V]"
2.5,90,-180,-2.43002491887991,3.69115359997623
2.5,90,-179.9,-2.79827618701071,3.41800842722701
2.5,90,-179.8,-3.1361208546111,3.10829052469536
2.5,90,-179.7,-3.43994351586462,2.76535679860104
2.5,90,-179.6,-3.70649678931422,2.39291988006123
2.5,90,-179.5,-3.9329361480875,1.99500801321947
2.5,90,-179.4,-4.1168503996022,1.57592155051322
2.5,90,-179.3,-4.25628748608118,1.14018652501257
2.5,90,-179.2,-4.34977532779435,0.69250580140786
2.5,90,-179.1,-4.39633748455935,0.237708333437811
2.5,90,-179,-4.39550346709221,-0.21930292395714
2.5,90,-178.9,-4.34731358769187,-0.673603884914649
2.5,90,-178.8,-4.25231829884347,-1.12030241407546
2.5,90,-178.7,-4.11157202798867,-1.55459104560911
2.5,90,-178.6,-3.92662157629061,-1.97179877026452
2.5,90,-178.5,-3.69948920806615,-2.36744133101972
2.5,90,-178.4,-3.43265061503191,-2.73726948412112
2.5,90,-178.3,-3.12900799498155,-3.07731470442312
2.5,90,-178.2,-2.79185853738405,-3.38393184170452
2.5,90,-178.1,-2.42485865808283,-3.65383826776604
2.5,90,-178,-2.0319843712458,-3.88414909223066
2.5,90,-177.9,-1.61748822846999,-4.072408067663
2.5,90,-177.8,-1.18585329201688,-4.21661385143633
2.5,90,-177.7,-0.741744641153518,-4.31524134218716
2.5,90,-177.6,-0.289958937144433,-4.36725786216571
2.5,90,-177.5,0.164627406707238,-4.372134012729
2.5,90,-177.4,0.61711088865739,-4.32984908802336
2.5,90,-177.3,1.0626138456336,-4.2408909909348
2.5,90,-177.2,1.49633707113305,-4.10625065500558
2.5,90,-177.1,1.91361155478215,-3.9274110355728
2.5,90,-177,2.30994878423945,-3.70633079223019
2.5,90,-176.9,2.68108906598461,-3.44542284221159
2.5,90,-176.8,3.02304734331844,-3.14752801980701
2.5,90,-176.7,3.33215601732317,-2.81588412985749
2.5,90,-176.6,3.60510430932283,-2.45409073315026
2.5,90,-176.5,3.83897374117665,-2.06607004760497
2.5,90,-176.4,4.03126935210265,-1.656024391023
2.5,90,-176.3,4.17994631722738,-1.22839062838335
2.5,90,-176.2,4.28343168315428,-0.787792118835477
2.5,90,-176.1,4.34064098900923,-0.338988684289098
2.5,90,-176,4.35098959706194,0.11317485743467
2.5,90,-175.9,4.31439861453622,0.563821036784149
2.5,90,-175.8,4.23129534697802,1.00809238682624
2.5,90,-175.7,4.10260828290568,1.44120383771135
2.5,90,-175.6,3.92975666877597,1.85849428451673
2.5,90,-175.5,3.71463479191297,2.25547677120862
2.5,90,-175.4,3.45959114632902,2.6278867489854
2.5,90,-175.3,3.16740271169002,2.97172788867053
2.5,90,-175.2,2.84124462844384,3.28331495386012
2.5,90,-175.1,2.48465560176502,3.55931327390681
2.5,90,-175,2.10149941293214,3.7967743931752
2.5,90,-174.9,1.69592295855368,3.9931675149199
2.5,90,-174.8,1.27231127523547,4.14640640415972
2.5,90,-174.7,0.835240039443666,4.25487146353552
2.5,90,-174.6,0.389426059114746,4.31742674880533
2.5,90,-174.5,-0.0603237052903935,4.33343174576785
2.5,90,-174.4,-0.509164037311928,4.30274778740855
2.5,90,-174.3,-0.952263716379528,4.22573904831066
2.5,90,-174.2,-1.38485755972438,4.10326811222516
2.5,90,-174.1,-1.8022976920044,3.93668616750972
2.5,90,-174,-2.20010348946983,3.7278179432832
2.5,90,-173.9,-2.57400966062674,3.47894155596882
2.5,90,-173.8,-2.92001194631923,3.19276349079404
2.5,90,-173.7,-3.23440994869053,2.87238899518863
2.5,90,-173.6,-3.51384663031809,2.52128821030173
2.5,90,-173.5,-3.7553440615814,2.14325841251431
2.5,90,-173.4,-3.95633503560514,1.74238277836691
2.5,90,-173.3,-4.11469021547324,1.32298612330077
2.5,90,-173.2,-4.22874052732084,0.88958809663652
2.5,90,-173.1,-4.29729456484779,0.446854341944353
2.5,90,-173,-4.31965082518453,-0.000453846888915588
2.5,90,-172.9,-4.29560465228169,-0.447530828233326
2.5,90,-172.8,-4.22544982147334,-0.889578318859897
2.5,90,-172.7,-4.1099747569506,-1.32185694522913
2.5,90,-172.6,-3.95045343194376,-1.7397370841944
2.5,90,-172.5,-3.74863105881374,-2.13874844612659
2.5,90,-172.4,-3.50670473237811,-2.51462786809947
2.5,90,-172.3,-3.22729924402696,-2.86336480517271
2.5,90,-172.2,-2.91343833594255,-3.18124403369565
2.5,90,-172.1,-2.56851171345992,-3.46488511166609
2.5,90,-172,-2.1962381787715,-3.71127817714833
2.5,90,-171.9,-1.80062529030928,-3.91781570618161
2.5,90,-171.8,-1.38592598878608,-4.08231989605001
2.5,90,-171.7,-0.95659266266848,-4.20306538773406
2.5,90,-171.6,-0.517229152439728,-4.27879709230324
2.5,90,-171.5,-0.072541214130352,-4.30874293936464
2.5,90,-171.4,0.372714021974169,-4.29262142087853
2.5,90,-171.3,0.813779051954264,-4.23064386007733
2.5,90,-171.2,1.245946909046,-4.12351139226384
2.5,90,-171.1,1.66461143772931,-3.9724067012975
2.5,90,-171,2.06531639244447,-3.77898061198348
2.5,90,-170.9,2.44380283626327,-3.54533369374903
2.5,90,-170.8,2.79605433447847,-3.27399308432723
2.5,90,-170.7,3.1183394631095,-2.96788479309934
2.5,90,-170.6,3.40725118247398,-2.63030179172656
2.5,90,-170.5,3.6597426608985,-2.26486824421754
2.5,90,-170.4,3.87315917293979,-1.87550026916327
2.5,90,-170.3,4.0452657397268,-1.46636366308962
2.5,90,-170.2,4.17427022572549,-1.0418290453608
2.5,90,-170.1,4.25884165585846,-0.606424911483553
2.5,90,-170,4.29812356893261,-0.164789102742258
2.5,90,-169.9,4.29174227716509,0.278380784362452
2.5,90,-169.8,4.23980995666697,0.718377515556991
2.5,90,-169.7,4.14292254943897,1.15053432573571
2.5,90,-169.6,4.00215251315378,1.57027447975055
2.5,90,-169.5,3.81903651013887,1.97315975889852
2.5,90,-169.4,3.59555818094176,2.35493735810831
2.5,90,-169.3,3.33412620007203,2.71158469748337
2.5,90,-169.2,3.03754786142065,3.03935167577825
2.5,90,-169.1,2.70899848792018,3.33479992230516
2.5,90,-169,2.35198700373585,3.59483863734729
2.5,90,-168.9,1.97031804721109,3.8167566490125
2.5,90,-168.8,1.56805103850839,3.99825035617798
2.5,90,-168.7,1.14945664702905,4.13744727227687
2.5,90,-168.6,0.718971129940674,4.23292493266851
2.5,90,-168.5,0.281149034226101,4.28372497868299
2.5,90,-168.4,-0.159385229604291,4.28936228358354
2.5,90,-168.3,-0.597986423782818,4.24982903908124
2.5,90,-168.2,-1.03003760656069,4.1655937750813
2.5,90,-168.1,-1.45099882051019,4.03759533945744
2.5,90,-168,-1.85645483045901,3.86723191825451
2.5,90,-167.9,-2.24216140772063,3.65634522924132
2.5,90,-167.8,-2.60408967469371,3.40720007260749
2.5,90,-167.7,-2.93846804641294,3.12245947129092
2.5,90,-167.6,-3.24182133300712,2.80515567941581
2.5,90,-167.5,-3.51100659892597,2.4586573801383
2.5,90,-167.4,-3.74324541087121,2.08663343339514
2.5,90,-167.3,-3.93615214621006,1.69301356922159
2.5,90,-167.2,-4.08775807680318,1.28194645310209
2.5,90,-167.1,-4.1965309891771,0.857755575918538
2.5,90,-167,-4.26139015029485,0.424893442226734
2.5,90,-166.9,-4.28171647830622,-0.0121054533883386
2.5,90,-166.8,-4.25735782904359,-0.448672361401081
2.5,90,-166.7,-4.18862936111042,-0.880252218040692
2.5,90,-166.6,-4.0763089946326,-1.30235128580445
2.5,90,-166.5,-3.92162803054445,-1.71058399342114
2.5,90,-166.4,-3.72625704811474,-2.10071848559883
2.5,90,-166.3,-3.4922872477425,-2.468720408742
2.5,90,-166.2,-3.22220745335359,-2.81079447961144
2.5,90,-166.1,-2.91887703351268,-3.12342340938509
2.5,90,-166,-2.58549504216794,-3.40340378545985
2.5,90,-165.9,-2.22556591834343,-3.64787854726289
2.5,90,-165.8,-1.84286211869315,-3.85436572994162
2.5,90,-165.7,-1.44138408728988,-4.02078319064346
2.5,90,-165.6,-1.02531799304163,-4.14546907573034
2.5,90,-165.5,-0.598991686455536,-4.22719783321906
2.5,90,-165.4,-0.166829343915173,-4.26519162249057
2.5,90,-165.3,0.26669472095486,-4.25912702235745
2.5,90,-165.2,0.69710259297039,-4.20913698838529
2.5,90,-165.1,1.11995915111221,-4.11580806040118
2.5,90,-165,1.53091784128843,-3.98017287085902
2.5,90,-164.9,1.92576535218375,-3.80369805364117
2.5,90,-164.8,2.30046473422852,-3.58826770045013
2.5,90,-164.7,2.65119652045437,-3.33616255768379
2.5,90,-164.6,2.97439743125329,-3.05003520012852
2.5,90,-164.5,3.26679627255377,-2.73288145849617
2.5,90,-164.4,3.52544666834465,-2.38800841537018
2.5,90,-164.3,3.74775630346395,-2.01899931813285
2.5,90,-164.2,3.93151239072741,-1.62967578758941
2.5,90,-164.1,4.0749031173772,-1.22405772699587
2.5,90,-164,4.17653486903831,-0.806321357787282
2.5,90,-163.9,4.23544507440221,-0.380755825304675
2.5,90,-163.8,4.25111056023479,0.0482811699238907
2.5,90,-163.7,4.22345135352639,0.476408252365146
2.5,90,-163.6,4.1528299151672,0.899265297589749
2.5,90,-163.5,4.04004583693948,1.31255794109308
2.5,90,-163.4,3.88632608037418,1.71210121372309
2.5,90,-163.3,3.69331088163738,2.09386185943555
2.5,90,-163.2,3.46303549062574,2.45399890743988
2.5,90,-163.1,3.19790795441062,2.78890209148004
2.5,90,-163,2.90068319465372,3.09522773375586
2.5,90,-162.9,2.57443366523676,3.36993173953484
2.5,90,-162.8,2.22251690973442,3.61029938051979
2.5,90,-162.7,1.848540368204,3.81397158014438
2.5,90,-162.6,1.45632380877107,3.97896745179499
2.5,90,-162.5,1.04985978143087,4.10370288107118
2.5,90,-162.4,0.633272509159975,4.18700498517378
2.5,90,-162.3,0.210775644688907,4.22812232589547
2.5,90,-162.2,-0.213370669967335,4.2267307970179
2.5,90,-162.1,-0.634902999945229,4.18293515172925
2.5,90,-162,-1.04959762905805,4.09726618049583
2.5,90,-161.9,-1.45331295045285,3.97067359418746
2.5,90,-161.8,-1.84203080980797,3.80451471071462
2.5,90,-161.7,-2.21189638814502,3.60053908554308
2.5,90,-161.6,-2.55925622912129,3.36086926678849
2.5,90,-161.5,-2.88069403736766,3.08797789375512
2.5,90,-161.4,-3.17306389977826,2.78466139340087
2.5,90,-161.3,-3.43352061035909,2.45401056193464
2.5,90,-161.2,-3.65954681096658,2.0993783482771
2.5,90,-161.1,-3.84897669466701,1.72434518216494
2.5,90,-161,-4.00001605514571,1.33268221201448
2.5,90,-160.9,-4.11125850418753,0.928312836094611
2.5,90,-160.8,-4.18169771933365,0.515272924929832
2.5,90,-160.7,-4.21073562495985,0.0976701430599094
2.5,90,-160.6,-4.19818645179455,-0.320357215743187
2.5,90,-160.5,-4.14427666186416,-0.734681463983306
2.5,90,-160.4,-4.04964076758957,-1.14122641336372
2.5,90,-160.3,-3.91531311483762,-1.53600751849121
2.5,90,-160.2,-3.74271573974211,-1.91517087545551
2.5,90,-160.1,-3.5336424476541,-2.27503069401142
2.5,90,-160,-3.29023929928247,-2.6121048804458
2.5,90,-159.9,-3.01498172359094,-2.92314839005576
2.5,90,-159.8,-2.71064850899399,-3.20518403325266
2.5,90,-159.7,-2.38029295354851,-3.45553044733968
2.5,90,-159.6,-2.02721148089944,-3.67182697668361
2.5,90,-159.5,-1.65491005147505,-3.85205523697322
2.5,90,-159.4,-1.26706871764937,-3.9945571741677
2.5,90,-159.3,-0.867504687129929,-4.09804946522264
2.5,90,-159.2,-0.460134270579098,-4.16163414534601
2.5,90,-159.1,-0.0489340973538706,-4.18480538499591
2.5,90,-159,0.362098012791153,-4.16745237868788
2.5,90,-158.9,0.768982134128424,-4.10985834653528
2.5,90,-158.8,1.16779489142197,-4.01269568791631
2.5,90,-158.7,1.55470731193613,-3.87701736435776
2.5,90,-158.6,1.92602150776372,-3.70424462528402
2.5,90,-158.5,2.27820583803422,-3.49615122534299
2.5,90,-158.4,2.60792821867375,-3.25484431525784
2.5,90,-158.3,2.9120872686173,-2.98274221924875
2.5,90,-158.2,3.1878410054607,-2.68254934074002
2.5,90,-158.1,3.43263283022167,-2.35722846405509
2.5,90,-158,3.64421456985944,-2.00997074287206
2.5,90,-157.9,3.82066637715773,-1.64416368618288
2.5,90,-157.8,3.96041332019207,-1.26335746918771
2.5,90,-157.7,4.06223852751906,-0.871229909853504
2.5,90,-157.6,4.12529279010315,-0.471550461669419
2.5,90,-157.5,4.14910055647373,-0.0681435793869207
2.5,90,-157.4,4.13356229332429,0.335148182775308
2.5,90,-157.3,4.07895321937195,0.734500981844881
2.5,90,-157.2,3.98591845543793,1.1261460514699
2.5,90,-157.1,3.85546466804803,1.50640527547258
2.5,90,-157,3.68894831705766,1.87172563417283
2.5,90,-156.9,3.48806064956735,2.2187122022906
2.5,90,-156.8,3.25480961241527,2.54415939442541
2.5,90,-156.7,2.99149888354278,2.84508017406262
2.5,90,-156.6,2.70070424827714,3.11873296454129
2.5,90,-156.5,2.38524756983621,3.36264602518753
2.5,90,-156.4,2.04816862394383,3.57463908259317
2.5,90,-156.3,1.69269508517501,3.75284203552544
2.5,90,-156.2,1.32221096740099,3.89571058187804
2.5,90,-156.1,0.940223832361636,4.00203864711724
2.5,90,-156,0.550331088888896,4.07096752551613
2.5,90,-155.9,0.156185710595614,4.10199167778897
2.5,90,-155.8,-0.238538298077884,4.09496116121567
2.5,90,-155.7,-0.630180358683847,4.05008070066674
2.5,90,-155.6,-1.01512737392996,3.96790544079052
2.5,90,-155.5,-1.38984706397316,3.84933345070698
2.5,90,-155.4,-1.75092027688367,3.69559508257479
2.5,90,-155.3,-2.09507197938203,3.50823931408642
2.5,90,-155.2,-2.41920064965201,3.28911723204181
2.5,90,-155.1,-2.72040581219102,3.04036283941563
2.5,90,-155,-2.99601347506583,2.76437139154779
2.5,90,-154.9,-3.2435992523653,2.46377548806136
2.5,90,-154.8,-3.46100897884839,2.14141916567042
2.5,90,-154.7,-3.64637664951063,1.8003302530447
2.5,90,-154.6,-3.79813954377376,1.44369126222856
