"Freq [GHz]","Phi [deg]","Theta [deg]","re(rEX) [V]","im(rEX) [V]"
2.5,90,-180,-1.18691882196094,3.41118707260074
2.5,90,-179.9,-1.41895986168139,3.32190616169572
2.5,90,-179.8,-1.64444484386367,3.21688214199178
2.5,90,-179.7,-1.86230846614765,3.09658597718766
2.5,90,-179.6,-2.07151832551718,2.96156046161923
2.5,90,-179.5,-2.27107974156408,2.81241801765018
2.5,90,-179.4,-2.46004044311495,2.64983817090557
2.5,90,-179.3,-2.63749509679056,2.47456471050585
2.5,90,-179.2,-2.80258965626526,2.28740254288301
2.5,90,-179.1,-2.95452551128868,2.08921424920742
2.5,90,-179,-3.0925634159293,1.88091635791439
2.5,90,-178.9,-3.21602717600148,1.66347534529148
2.5,90,-178.8,-3.32430707625418,1.43790337855524
2.5,90,-178.7,-3.4168630286299,1.20525381730702
2.5,90,-178.6,-3.49322742375183,0.966616490697404
2.5,90,-178.5,-3.55300766876805,0.723112769037593
2.5,90,-178.4,-3.59588839577308,0.475890449966551
2.5,90,-178.3,-3.62163332624178,0.226118480594917
2.5,90,-178.2,-3.63008677824396,-0.025018461700023
2.5,90,-178.1,-3.62117480466094,-0.276325505982279
2.5,90,-178,-3.59490595219105,-0.526603217037584
2.5,90,-177.9,-3.55137163260618,-0.774653291310328
2.5,90,-177.8,-3.49074609949943,-1.01928429271179
2.5,90,-177.7,-3.41328602563585,-1.25931740076526
2.5,90,-177.6,-3.31932967797719,-1.49359214294068
2.5,90,-177.5,-3.2092956894848,-1.72097208256248
2.5,90,-177.4,-3.08368142890359,-1.94035043335832
2.5,90,-177.3,-2.94306097188052,-2.1506555715608
2.5,90,-177.2,-2.78808267895875,-2.35085641649097
2.5,90,-177.1,-2.61946638820353,-2.53996765073794
2.5,90,-177,-2.43800023243574,-2.71705475141945
2.5,90,-176.9,-2.24453709326903,-2.88123880455352
2.5,90,-176.8,-2.03999070633618,-3.03170107530852
2.5,90,-176.7,-1.82533143424821,-3.16768730781299
2.5,90,-176.6,-1.60158172592953,-3.28851172930532
2.5,90,-176.5,-1.36981128299704,-3.39356073468418
2.5,90,-176.4,-1.13113195579572,-3.48229622896917
2.5,90,-176.3,-0.886692393533119,-3.55425860680544
2.5,90,-176.2,-0.637672474674276,-3.6090693499246
2.5,90,-176.1,-0.385277545335247,-3.64643322540766
2.5,90,-176,-0.13073249484596,-3.6661400696667
2.5,90,-175.9,0.124724301077616,-3.66806614526149
2.5,90,-175.8,0.379847138020299,-3.65217505998152
2.5,90,-175.7,0.633389208971098,-3.61851824003621
2.5,90,-175.6,0.884108865686882,-3.56723495169294
2.5,90,-175.5,1.13077588164975,-3.4985518682651
2.5,90,-175.4,1.37217768264701,-3.41278218196522
2.5,90,-175.3,1.60712551091655,-3.31032426278075
2.5,90,-175.2,1.83446048892753,-3.19165986918569
2.5,90,-175.1,2.05305954921389,-3.05735191815005
2.5,90,-175,2.26184119724381,-2.90804182453106
2.5,90,-174.9,2.4597710750876,-2.74444642250911
2.5,90,-174.8,2.645867294641,-2.5673544842445
2.5,90,-174.7,2.81920551035857,-2.37762285336347
2.5,90,-174.6,2.97892370284969,-2.17617221321417
2.5,90,-174.5,3.12422664627775,-1.96398251204707
2.5,90,-174.4,3.25439003426822,-1.74208806935726
2.5,90,-174.3,3.36876424096624,-1.51157238955718
2.5,90,-174.2,3.46677769597101,-1.27356271091961
2.5,90,-174.1,3.54793985410043,-1.02922431932493
2.5,90,-174,3.61184374329001,-0.779754657754024
2.5,90,-173.9,3.65816807638531,-0.52637726368135
2.5,90,-173.8,3.68667891513411,-0.270335567526242
2.5,90,-173.7,3.69723087730021,-0.0128865861183502
2.5,90,-173.6,3.68976788049094,0.244705454290009
2.5,90,-173.5,3.66432341899289,0.501175530573143
2.5,90,-173.4,3.62102037262827,0.755264235811659
2.5,90,-173.3,3.56007034935762,1.00572415795622
2.5,90,-173.2,3.48177256604455,1.25132618942921
2.5,90,-173.1,3.38651227444688,1.49086573353513
2.5,90,-173,3.27475874208757,1.72316877427703
2.5,90,-172.9,3.14706280017072,1.94709777710567
2.5,90,-172.8,3.00405397312797,2.16155738924984
2.5,90,-172.7,2.84643720668957,2.36549990958833
2.5,90,-172.6,2.67498921356315,2.55793049950206
2.5,90,-172.5,2.49055445785155,2.7379121077931
2.5,90,-172.4,2.29404080124694,2.90457008454446
2.5,90,-172.3,2.0864148357772,3.05709646072626
2.5,90,-172.2,1.8686969294583,3.19475387239628
2.5,90,-172.1,1.64195601260282,3.31687911049465
2.5,90,-172,1.40730413375038,3.42288627947058
2.5,90,-171.9,1.16589081521411,3.51226955028857
2.5,90,-171.8,0.91889723907292,3.58460549572802
2.5,90,-171.7,0.667530295084875,3.63955499829401
2.5,90,-171.6,0.41301652244539,3.67686472348564
2.5,90,-171.5,0.156595977573636,3.69636815360138
2.5,90,-171.4,-0.100483939819948,3.69798617968673
2.5,90,-171.3,-0.356974670252351,3.68172725163053
2.5,90,-171.2,-0.61163265573725,3.64768708877849
2.5,90,-171.1,-0.863225447443295,3.5960479557422
2.5,90,-171,-1.11053772902318,3.52707751032625
2.5,90,-170.9,-1.35237722569491,3.44112723266236
2.5,90,-170.8,-1.5875804701114,3.33863044671678
2.5,90,-170.7,-1.81501839714711,3.22009994731557
2.5,90,-170.6,-2.03360174095526,3.08612524770258
2.5,90,-170.5,-2.24228620899443,2.93736946439781
2.5,90,-170.4,-2.44007740917519,2.77456585775536
2.5,90,-170.3,-2.62603550782904,2.59851404812048
2.5,90,-170.2,-2.799279597837,2.41007592885301
2.5,90,-170.1,-2.95899175796421,2.21017129871503
2.5,90,-170,-3.104420786219,1.99977323720899
2.5,90,-169.9,-3.23488559187425,1.77990324740317
2.5,90,-169.8,-3.34977823265063,1.55162619158562
2.5,90,-169.7,-3.44856658544745,1.31604504575326
2.5,90,-169.6,-3.53079664091144,1.0742954994668
2.5,90,-169.5,-3.59609441404509,0.827540427986621
2.5,90,-169.4,-3.64416746496224,0.576964263856563
2.5,90,-169.3,-3.67480602579509,0.323767295217181
2.5,90,-169.2,-3.68788373162888,0.0691599181219682
2.5,90,-169.1,-3.68335795518549,-0.185643130006116
2.5,90,-169,-3.66126974678413,-0.439428528894399
2.5,90,-168.9,-3.62174338287102,-0.690990099397995
2.5,90,-168.8,-3.56498552812367,-0.939134466893961
2.5,90,-168.7,-3.49128401779381,-1.18268663862661
2.5,90,-168.6,-3.40100626855131,-1.42049547021231
2.5,90,-168.5,-3.29459732762415,-1.65143899727683
2.5,90,-168.4,-3.17257757149547,-1.87442960904474
2.5,90,-168.3,-3.03554006681126,-2.08841904162848
2.5,90,-168.2,-2.88414760747141,-2.29240316976282
2.5,90,-168.1,-2.7191294431197,-2.48542657679583
2.5,90,-168,-2.54127771541,-2.66658688387623
2.5,90,-167.9,-2.35144361951317,-2.83503882045544
2.5,90,-167.8,-2.15053330932744,-2.98999801946021
2.5,90,-167.7,-1.93950356577864,-3.13074452176622
2.5,90,-167.6,-1.71935724843226,-3.25662597592358
2.5,90,-167.5,-1.49113855139404,-3.36706052043964
2.5,90,-167.4,-1.25592808514703,-3.46153933730971
2.5,90,-167.3,-1.01483780655817,-3.53962886690117
2.5,90,-167.2,-0.769005819792623,-3.60097267573159
2.5,90,-167.1,-0.519591071289818,-3.6452929701387
2.5,90,-167,-0.267767962291399,-3.6723917503104
2.5,90,-166.9,-0.0147209026622738,-3.6821516006264
2.5,90,-166.8,0.238361170090518,-3.67453611375488
2.5,90,-166.7,0.490290282613026,-3.64958994744247
2.5,90,-166.6,0.739884904328664,-3.60743851443327
2.5,90,-166.5,0.985975388995311,-3.54828730744616
2.5,90,-166.4,1.22740935546891,-3.47242086262737
2.5,90,-166.3,1.46305698420639,-3.38020136637236
2.5,90,-166.2,1.69181620638076,-3.27206691187466
2.5,90,-166.1,1.91261776290819,-3.14852941320389
2.5,90,-166,2.12443011119852,-3.01017218613794
2.5,90,-165.9,2.32626415803443,-2.85764720637082
2.5,90,-165.8,2.51717779766567,-2.69167205708179
2.5,90,-165.7,2.69628023496653,-2.51302657918073
2.5,90,-165.6,2.86273607435011,-2.32254923883326
2.5,90,-165.5,3.01576915606089,-2.12113322811032
2.5,90,-165.4,3.15466612247228,-1.90972231580062
2.5,90,-165.3,3.27877969810299,-1.68930646655748
2.5,90,-165.2,3.38753166822636,-1.46091724762705
2.5,90,-165.1,3.48041554218274,-1.22562304341108
2.5,90,-165,3.55699888881058,-0.984524099051569
2.5,90,-164.9,3.61692533278535,-0.738747415081281
2.5,90,-164.8,3.6599162020917,-0.489441515957601
2.5,90,-164.7,3.6857718183502,-0.237771115980351
2.5,90,-164.6,3.69437242326891,0.015088293313522
2.5,90,-164.5,3.68567873608854,0.267955909695532
2.5,90,-164.4,3.65973213852981,0.519651115757706
2.5,90,-164.3,3.61665448542883,0.768998978138438
2.5,90,-164.2,3.55664754095143,1.01483572503877
2.5,90,-164.1,3.47999204200507,1.2560141765515
2.5,90,-164,3.38704639220784,1.49140910239009
2.5,90,-163.9,3.27824499152104,1.71992248178652
2.5,90,-163.8,3.15409620839526,1.94048864063521
2.5,90,-163.7,3.01518000301179,2.15207924138889
2.5,90,-163.6,2.86214521191203,2.35370810176506
2.5,90,-163.5,2.69570650598647,2.54443581900138
2.5,90,-163.4,2.51664103543759,2.72337417719283
2.5,90,-163.3,2.32578477691889,2.88969031616924
2.5,90,-163.2,2.12402859958598,3.04261064140606
2.5,90,-163.1,1.91231406825865,3.18142445561546
2.5,90,-163,1.69162900327781,3.30548729392844
2.5,90,-162.9,1.46300281794184,3.4142239459459
2.5,90,-162.8,1.22750165560891,3.50713114940557
2.5,90,-162.7,0.986223349654306,3.58377994177134
2.5,90,-162.6,0.740292230457984,3.64381765769829
2.5,90,-162.5,0.490853804469608,3.68696956204927
2.5,90,-162.4,0.239069331143979,3.71304010992994
2.5,90,-162.3,-0.0138896758485442,3.72191382706096
2.5,90,-162.2,-0.266846996253035,3.71355580570424
2.5,90,-162.1,-0.518627272481672,3.68801181329928
2.5,90,-162,-0.768061573074552,3.64540801293073
2.5,90,-161.9,-1.01399292290981,3.58595029673111
2.5,90,-161.8,-1.25528177280838,3.50992323530961
2.5,90,-161.7,-1.49081138142927,3.41768864827851
2.5,90,-161.6,-1.71949308275252,3.30968380291091
2.5,90,-161.5,-1.9402714129967,3.18641924989495
2.5,90,-161.4,-2.15212907151013,3.04847630703968
2.5,90,-161.3,-2.35409169101356,2.89650420362394
2.5,90,-161.2,-2.545232393545,2.73121689985072
2.5,90,-161.1,-2.7246761095654,2.55338959756564
2.5,90,-161,-2.89160363891836,2.36385496000647
2.5,90,-160.9,-3.04525543368968,2.16349905986523
2.5,90,-160.8,-3.18493508447986,1.95325707635053
2.5,90,-160.7,-3.31001249317105,1.73410876323148
2.5,90,-160.6,-3.41992671693353,1.50707371101544
2.5,90,-160.5,-3.51418846996449,1.27320642745238
2.5,90,-160.4,-3.59238227127253,1.03359126146458
2.5,90,-160.3,-3.65416822870508,0.789337196364437
2.5,90,-160.2,-3.69928345135089,0.541572538840534
2.5,90,-160.1,-3.72754308442337,0.291439530662233
2.5,90,-160,-3.73884096273203,0.0400889103684514
2.5,90,-159.9,-3.73314988086557,-0.211325547627816
2.5,90,-159.8,-3.71052148022954,-0.461652489079866
2.5,90,-159.7,-3.67108575509102,-0.709748403795187
2.5,90,-159.6,-3.61505018177166,-0.954482990368523
2.5,90,-159.5,-3.54269847708475,-1.19474443520309
2.5,90,-159.4,-3.4543889940227,-1.42944457985021
2.5,90,-159.3,-3.35055276455468,-1.65752395143074
