"Freq [GHz]","Phi [deg]","Theta [deg]","re(rEX) [V]","im(rEX) [V]"
2.5,90,-180,-2.45700724205244,3.66867586328251
2.5,90,-179.9,-2.53690132045899,3.61336408075188
2.5,90,-179.8,-2.61562041501853,3.55627668795973
2.5,90,-179.7,-2.69312099829349,3.49743548096254
2.5,90,-179.6,-2.76935971603165,3.43686354683372
2.5,90,-179.5,-2.84429346169392,3.37458529246245
2.5,90,-179.4,-2.91787945391793,3.31062646791192
2.5,90,-179.3,-2.99007531621151,3.24501418397525
2.5,90,-179.2,-3.06083915814577,3.17777692363441
2.5,90,-179.1,-3.13012965730215,3.10894454719806
2.5,90,-179,-3.19790614122305,3.03854829096605
2.5,90,-178.9,-3.26412866861868,2.96662075934297
2.5,90,-178.8,-3.32875810909653,2.89319591039642
2.5,90,-178.7,-3.39175622070183,2.81830903492973
2.5,90,-178.6,-3.45308572458807,2.74199672921068
2.5,90,-178.5,-3.51271037617615,2.66429686156732
2.5,90,-178.4,-3.57059503220698,2.5852485331288
2.5,90,-178.3,-3.62670571314665,2.50489203305065
2.5,90,-178.2,-3.68100966046275,2.4232687886223
2.5,90,-178.1,-3.73347538835617,2.34042131070609
2.5,90,-178,-3.78407272960285,2.25639313500305
2.5,90,-177.9,-3.83277287523285,2.17122875968009
2.5,90,-177.8,-3.87954840785101,2.08497357992557
2.5,90,-177.7,-3.92437332848078,1.99767382002465
2.5,90,-177.6,-3.9672230768913,1.90937646356377
2.5,90,-177.5,-4.00807454544575,1.82012918238217
2.5,90,-177.4,-4.04690608658539,1.72998026489068
2.5,90,-177.3,-4.08369751413765,1.63897854437201
2.5,90,-177.2,-4.11843009870754,1.5471733278621
2.5,90,-177.1,-4.15108655747768,1.45461432619266
2.5,90,-177,-4.18165103880396,1.36135158574499
2.5,90,-176.9,-4.21010910204873,1.26743542243336
2.5,90,-176.8,-4.23644769314279,1.17291635839281
2.5,90,-176.7,-4.26065511640913,1.07784506180238
2.5,90,-176.6,-4.28272100321522,0.982272290223497
2.5,90,-176.5,-4.30263627804758,0.8862488377773
2.5,90,-176.4,-4.3203931226196,0.789825486428883
2.5,90,-176.3,-4.33598493863359,0.693052961583421
2.5,90,-176.2,-4.34940630981915,0.595981892138745
2.5,90,-176.1,-4.36065296386245,0.498662775074341
2.5,90,-176,-4.3697217348258,0.401145944594272
2.5,90,-175.9,-4.37661052663312,0.303481545779432
2.5,90,-175.8,-4.38131827816633,0.205719512642756
2.5,90,-175.7,-4.38384493047921,0.107909550423367
2.5,90,-175.6,-4.384191396591,0.0101011219001967
2.5,90,-175.5,-4.38235953427137,-0.0876565625463051
2.5,90,-175.4,-4.37835212217301,-0.185314551441934
2.5,90,-175.3,-4.37217283960792,-0.282824155656458
2.5,90,-175.2,-4.36382625020035,-0.380136949167635
2.5,90,-175.1,-4.35331778958314,-0.477204767578548
2.5,90,-175,-4.34065375723628,-0.57397970483986
2.5,90,-174.9,-4.3258413124984,-0.670414108645573
2.5,90,-174.8,-4.30888847471287,-0.766460574982564
2.5,90,-174.7,-4.28980412740342,-0.862071942317967
2.5,90,-174.6,-4.26859802630817,-0.95720128590585
2.5,90,-174.5,-4.24528081103882,-1.05180191268582
2.5,90,-174.4,-4.21986402007241,-1.1458273572296
2.5,90,-174.3,-4.19236010872876,-1.23923137917045
2.5,90,-174.2,-4.16278246973698,-1.33196796252202
2.5,90,-174.1,-4.13114545595092,-1.42399131725974
2.5,90,-174,-4.09746440473585,-1.51525588350029
2.5,90,-173.9,-4.06175566351818,-1.6057163385709
2.5,90,-173.8,-4.02403661596621,-1.69532760721492
2.5,90,-173.7,-3.98432570825421,-1.7840448751295
2.5,90,-173.6,-3.94264247485318,-1.87182360597952
2.5,90,-173.5,-3.89900756329098,-1.95861956197829
2.5,90,-173.4,-3.85344275733145,-2.04438882806985
2.5,90,-173.3,-3.80597099803602,-2.1290878396932
2.5,90,-173.2,-3.75661640219335,-2.21267341405371
2.5,90,-173.1,-3.70540427763081,-2.29510278477311
2.5,90,-173,-3.65236113495671,-2.37633363973816
2.5,90,-172.9,-3.59751469532337,-2.45632416191847
