"Freq [GHz]","Phi [deg]","Theta [deg]","re(rEX) [V]","im(rEX) [V]"
2.5,90,-180,-2.1071080969437,3.45198526261324
2.5,90,-179.9,-1.89994655575484,3.57093553543927
2.5,90,-179.8,-1.68621000082356,3.67740176093778
2.5,90,-179.7,-1.46665625722651,3.77103237445105
2.5,90,-179.6,-1.24206071612771,3.85152234978007
2.5,90,-179.5,-1.0132134178118,3.91861393493053
2.5,90,-179.4,-0.780916121793491,3.97209719955754
2.5,90,-179.3,-0.54597937672729,4.0118103966032
2.5,90,-179.2,-0.309219602335278,4.03764014152919
2.5,90,-179.1,-0.0714561949942038,4.04952141338436
2.5,90,-179,0.166491332015878,4.04743738270902
2.5,90,-178.9,0.403806163286009,4.03141907195885
2.5,90,-178.8,0.639676941493492,4.00154485472796
2.5,90,-178.7,0.873300464237156,3.95793980056124
2.5,90,-178.6,1.10388430945729,3.90077487256829
2.5,90,-178.5,1.33064938220259,3.83026598538577
2.5,90,-178.4,1.55283237630368,3.74667293128251
2.5,90,-178.3,1.76968814530766,3.65029818236421
2.5,90,-178.2,1.9804919778005,3.54148557691534
2.5,90,-178.1,2.18454177299661,3.4206188979191
2.5,90,-178,2.38116011319164,3.28812035172621
2.5,90,-177.9,2.56969623035067,3.14444895470785
2.5,90,-177.8,2.74952786473508,2.99009883553063
2.5,90,-177.7,2.9200630140481,2.82559746044263
2.5,90,-177.6,3.08074157209961,2.65150378866479
2.5,90,-177.5,3.23103685645041,2.46840636465021
2.5,90,-177.4,3.37045702489244,2.2769213536138
2.5,90,-177.3,3.49854638095125,2.07769052635615
2.5,90,-177.2,3.61488656886493,1.87137919901214
2.5,90,-177.1,3.71909765869195,1.65867413296458
2.5,90,-177,3.81083912234019,1.44028139977179
2.5,90,-176.9,3.8898107013834,1.21692421558982
2.5,90,-176.8,3.95575316755373,0.989340749213044
2.5,90,-176.7,4.00844897676431,0.758281907537236
2.5,90,-176.6,4.04772281743595,0.52450910196186
2.5,90,-176.5,4.07344205378116,0.288791998997762
2.5,90,-176.4,4.08551706454171,0.0519062581513617
2.5,90,-176.3,4.08390147749332,-0.18536874000014
2.5,90,-176.2,4.06859229982771,-0.422252172722227
2.5,90,-176.1,4.03962994430758,-0.657964058251415
2.5,90,-176,3.9970981508716,-0.891727540350641
2.5,90,-175.9,3.94112380315328,-1.12277117143499
2.5,90,-175.8,3.87187663917634,-1.35033119129023
2.5,90,-175.7,3.78956885530937,-1.57365379822938
2.5,90,-175.6,3.69445460241135,-1.79199740930755
2.5,90,-175.5,3.58682937298302,-2.00463490594588
2.5,90,-175.4,3.46702927806643,-2.21085586100212
2.5,90,-175.3,3.33543021260971,-2.40996874298148
2.5,90,-175.2,3.19244690804256,-2.601303092706
2.5,90,-175.1,3.03853187089596,-2.7842116673656
2.5,90,-175,2.87417420644713,-2.95807254646605
2.5,90,-174.9,2.69989832658577,-3.12229119377419
2.5,90,-174.8,2.51626254137602,-3.2763024689514
2.5,90,-174.7,2.323857534135,-3.41957258216782
2.5,90,-174.6,2.12330472026174,-3.5516009846117
2.5,90,-174.5,1.9152544905261,-3.67192218746214
2.5,90,-174.4,1.70038434006751,-3.78010750158195
2.5,90,-174.3,1.4793968849494,-3.87576668992609
2.5,90,-174.2,1.25301776876607,-3.95854952445187
2.5,90,-174.1,1.02199346249761,-4.02814723917032
2.5,90,-174,0.787088961546791,-4.0842938709001
2.5,90,-173.9,0.54908538466786,-4.1267674792809
2.5,90,-173.8,0.30877748029303,-4.15539123767944
2.5,90,-173.7,0.0669710465819496,-4.17003438677983
2.5,90,-173.6,-0.175519727658535,-4.17061304289643
2.5,90,-173.5,-0.417874993215301,-4.15709085338229
2.5,90,-173.4,-0.659272033089719,-4.12947949193121
2.5,90,-173.3,-0.898888107931837,-4.0878389870863
2.5,90,-173.2,-1.13590334396446,-4.03227787787146
2.5,90,-173.1,-1.3695036523609,-3.96295319115165
2.5,90,-173,-1.59888366837954,-3.88007023610021
2.5,90,-172.9,-1.82324969795867,-3.78388221200129
2.5,90,-172.8,-2.04182265894538,-3.67468962653842
2.5,90,-172.7,-2.2538410036851,-3.55283952270718
2.5,90,-172.6,-2.45856360933228,-3.41872451353626
2.5,90,-172.5,-2.65527262197697,-3.27278162489458
2.5,90,-172.4,-2.84327624050729,-3.11549094779878
2.5,90,-172.3,-3.0219114260672,-2.94737410279713
2.5,90,-172.2,-3.19054652300796,-2.76899252019147
2.5,90,-172.1,-3.34858377738671,-2.58094554104993
2.5,90,-172,-3.49546173933144,-2.38386834515188
2.5,90,-171.9,-3.63065753596959,-2.17842971318208
2.5,90,-171.8,-3.75368900210906,-1.96532963163817
2.5,90,-171.7,-3.86411665645915,-1.74529675002885
2.5,90,-171.6,-3.96154551188723,-1.51908570100054
2.5,90,-171.5,-4.04562670901373,-1.28747429503524
2.5,90,-171.4,-4.11605896335239,-1.05126060229682
2.5,90,-171.3,-4.17258981719754,-0.811259935055282
2.5,90,-171.2,-4.21501668853384,-0.568301744886324
2.5,90,-171.1,-4.24318771039261,-0.323226449512931
2.5,90,-171,-4.25700235528961,-0.0768822047205533
2.5,90,-170.9,-4.25641184064298,0.169878362764574
